real, imag
61.801, 0
27.0569, 3.11787
7.10341, 1.93226
4.45764, 3.72348
2.55801, 1.46348
2.65975, -1.91321
0.430875, 0.661557
2.35453, 0.00884573
1.74688, -0.150274
2.03094, 0.0617159
1.78324, -2.71036
0.567285, 0.820207
-0.128664, 0.443502
4.09565, -1.17934
1.74624, 1.70362
0.792813, 0.278971
3.61356, 2.13149
4.45762, -0.485135
1.47891, -0.0419835
0.311382, -0.176903
0.886394, -2.02541
-0.624913, -0.813957
0.534555, -0.422766
-0.355069, 1.19513
-0.602326, 0.929114
2.0864, 0.678905
-0.295252, -0.0910072
0.421453, 0.494945
-0.14771, -0.0590928
-0.223736, -0.220599
0.813602, 0.99633
-0.182968, -0.101104
0.0885763, -0.251662
1.05778, 3.23756
4.44507, 0.214632
2.74548, -2.49168
0.0300139, 0.0236067
2.46953, -3.36967
0.35373, -0.237428
0.189296, 0.118257
0.0550113, -0.123063
2.17798, 0.987883
1.97003, 3.19262
-0.140055, -0.140244
2.17699, -1.96233
5.79547, 0.674333
0.64979, -0.920116
0.0881603, -0.0219899
0.221014, -0.21398
-0.531377, -0.426344
-0.0708973, -0.54579
0.775082, 3.74919
2.08667, -4.05903
0.916732, 0.274959
0.521309, -0.20856
1.06174, -1.00519
0.403049, 1.06065
0.935202, 1.78838
-0.0114294, -1.35981
0.0949443, -1.21232
0.124357, -0.016068
-0.484981, 0.932384
0.772356, -0.663108
0.0695476, 0.375158
1.71312, 3.76584
0.429226, -0.0362859
1.86445, -1.20269
0.498853, -1.64817
-0.844311, 0.86015
5.45746, 1.25548
2.48094, 0.456175
0.187801, 0.569616
0.530085, -0.695807
4.83564, -4.11865
2.04502, 0.266154
-0.021771, 0.0458949
3.14909, -0.454675
3.22769, -0.421008
2.21886, -0.906412
2.20222, -4.66021
-0.224347, 0.494783
1.56645, 1.7256
-0.370074, -0.242849
1.13156, -1.36751
0.568263, 0.0816514
2.60379, -0.567358
-0.0641939, -0.421244
-0.0141358, 0.0428841
3.45266, -3.0491
1.82836, 0.366993
1.49663, -1.48137
0.418409, 1.55871
0.00130961, -0.116812
-0.0594471, 0.866736
0.40598, -0.281044
-0.174924, -0.268908
0.628581, -0.789784
0.0687988, 0.643966
5.99247, 0.280681
1.19713, -1.69835
-0.516717, -0.935341
0.772911, -2.49259
0.0708558, -0.356389
7.39381, -0.513106
0.915031, 0.79206
1.81928, 0.0805185
0.207166, 0.211084
-0.256719, -0.418785
0.0980585, 0.948518
0.462835, -0.875067
0.0470591, -0.590304
3.15028, -4.34721
-0.985065, -1.65777
0.662472, -0.969677
4.79204, -0.774548
1.70859, -0.400909
1.08142, 0.128769
0.597791, 0.553568
0.0188624, 0.0102618
1.21701, 1.90413
0.11689, 0.399462
5.22968, 0.112588
0.0941518, -1.29716
0.543742, 0.836188
0.352241, 3.71927
0.689273, 0.103952
0.69534, 0.0939203
0.532648, -0.14035
0.267259, -0.855375
5.21074, -5.03556
1.48143, 0.0944357
-0.285345, -0.448323
0.0663518, -0.0556849
-0.018951, 0.0635809
0.565068, 0.188442
1.65467, -0.667594
0.101853, 1.13488
0.182585, 0.00328573
-0.35546, -0.592231
0.515013, -0.331016
5.08347, 3.59959
5.98879, 2.62597
-0.0836911, -0.90482
0.731014, -0.794839
0.813232, 4.56783
-0.972637, -3.8162
0.0838745, -0.805518
1.47466, 0.0568781
0.266644, 1.05287
0.757288, -0.702444
3.26317, 1.56238
0.150443, -0.21422
7.5279, 1.39833
0.101773, -0.391546
0.759369, -0.992182
4.16546, 0.105324
3.03696, -0.720381
0.273421, 3.09482
1.1098, 1.92044
0.247626, 0.727512
0.0353472, -0.000819823
9.15443, 0.786862
1.06626, 0.627563
2.0468, 0.134207
0.388811, -3.33212
0.0673996, -0.0512896
1.23493, -1.03946
1.23992, 0.51005
0.70025, -0.400801
0.0542804, 0.204597
2.39385, -1.30974
0.281384, -0.169455
0.217548, 0.991015
5.711, -4.65934
1.25487, 0.634584
0.378418, 0.920507
1.50807, 4.16216
0.337079, -0.307964
1.73355, -1.09825
0.90571, -0.955752
0.421864, -1.39126
0.0285253, -1.28697
-0.351196, 0.979233
0.342728, 0.0808723
0.255141, 0.0724744
2.23017, 0.0161405
0.431691, 0.405836
0.559725, 0.176226
0.0803723, -0.0560225
1.15336, 0.362594
-0.0669202, -0.864177
0.954007, 0.864041
0.292167, -1.02816
0.179488, -0.947395
0.499585, 0.108139
-0.0116116, 1.00381
1.20002, -0.341393
1.09021, -0.451311
-0.276768, 0.468529
-1.36795, -2.06343
0.641302, -0.0106886
0.834708, 0.232121
0.773102, -1.09914
-0.941224, 0.112595
1.32379, -2.64121
1.02781, -1.17573
1.20712, 0.307209
2.04284, 2.10499
4.98459, -1.51782
-0.0289715, 0.0380781
1.13943, 0.180534
5.17274, 1.35018
2.38561, -1.34857
0.212875, -0.106169
0.584162, -0.856301
2.72637, 0.640382
5.30586, -0.0444429
5.31667, -3.77513
5.13078, -3.90113
1.59656, -4.43096
-0.123702, 1.46455
3.42762, -1.2769
-0.00745593, 0.520329
-0.510316, 0.501597
-0.0854779, 0.710904
1.01297, -1.64303
0.48806, -0.208996
0.679794, -0.278425
0.486205, -2.59572
3.42698, -0.916662
0.170844, 0.107185
-0.110445, 1.30349
2.58052, -3.4826
0.756123, -0.418114
0.0678769, -0.291156
0.872103, 0.933161
0.76477, -0.718438
-0.940654, 1.96033
1.25101, -0.433676
-0.011191, 1.6526
0.632163, 0.300369
0.967253, -0.252096
0.335457, 1.0356
-0.349149, -3.36474
0.403991, -0.22865
0.437361, -0.11653
0.124592, 0.0682621
0.67572, -0.921923
-0.0261033, -0.563175
0.793561, 0.118588
0.973437, -0.567466
0.0343309, 0.0598367
1.57169, -0.375591
-0.501628, 0.224185
7.33811, -4.71045
0.083438, -0.901827
-0.109204, -0.388777
-1.51859, -3.26223
-1.66001, -1.58414
0.247341, -1.08865
0.567416, 0.458182
3.2123, -1.74215
-0.578482, -2.00977
-0.13375, -0.0554456
3.50617, -0.941318
4.66935, 1.11977
1.72782, -0.256579
2.14061, -1.3655
0.774351, 0.451601
0.0258139, 0.098335
0.55068, 0.716767
0.314755, -0.759675
7.51011, 5.61323
0.516941, 0.0768772
0.244058, 0.27575
-0.721425, -1.15906
3.46757, -3.90703
-0.132853, 0.417529
-2.0446, -1.55408
0.315487, 0.270752
-0.860282, 1.88685
1.2585, -0.634113
1.85031, -0.26744
0.00267074, -0.0291847
4.95464, 0.718997
0.174642, 0.285682
0.209569, -0.441845
0.953291, 0.39498
0.249919, 0.0888412
-0.314001, 0.222255
-0.391545, 0.319103
0.0701839, 0.265978
1.23092, 0.577707
2.01564, 2.10526
0.463643, -0.00693791
1.69015, -0.243964
0.260164, -0.489772
2.10865, 2.18933
0.0386798, -0.00575845
-0.0873389, 6.48892
0.684273, 0.890353
1.51955, 0.106506
2.01323, -0.685822
0.0914184, 0.283854
6.32643, -0.847314
-0.15728, -0.303226
0.353265, -0.691971
0.317348, -0.144468
-0.502119, -0.962445
0.168544, -0.12118
-0.61529, 1.2079
1.05509, 0.327922
0.825683, -0.33951
0.153179, -0.22322
0.688495, -1.014
0.0562654, 0.368721
0.73447, -0.290378
0.405516, 0.1955
0.15553, -0.261243
2.04677, -1.44295
1.03156, -0.688845
0.00676233, 1.4244
1.22039, 0.941807
1.02828, -1.44159
-0.28196, 0.205074
-0.102546, -0.52704
0.588733, 1.42287
5.65025, 0.769785
0.288093, 0.798416
2.0337, 1.90255
0.370743, 1.47622
1.13886, -0.566873
0.766368, 0.239047
0.601164, -0.402383
0.223627, 1.32745
0.00951558, -0.56806
1.23402, -0.0614341
0.901833, -0.0284611
0.869608, -0.579879
1.68398, -3.92843
0.576493, 0.210272
0.848651, -0.620265
0.883028, -0.401647
2.90315, 1.84658
2.02045, 0.447338
0.38067, -5.23586
-0.16422, -0.593952
-0.0100097, 0.238796
2.01286, -1.01956
2.33655, 2.82904
0.0892345, -1.38656
0.538869, -0.0908139
0.700728, 0.0547798
1.47683, -0.0672655
-0.0856192, 1.04908
1.40818, 2.12724
0.145672, -0.133428
0.0332353, 0.362133
-0.793012, 0.81072
1.02537, -0.142932
-0.0284348, -0.00276918
-0.0807243, -0.440806
6.36479, 1.43932
-0.189155, -0.177759
-0.360233, 0.138368
1.27706, -0.0200443
3.71443, 1.01859
3.85812, 1.94629
-0.0974357, -1.27646
0.333021, -0.150489
0.97334, -1.15965
0.530887, 0.946173
0.0898732, -0.198119
8.61042, 1.46465
-0.087697, 0.0429401
0.767961, 0.959168
1.91462, -1.56924
0.509541, -0.332858
1.02134, 0.608504
2.01645, 3.1377
-0.021016, -0.0538195
-0.112526, 0.15425
1.15769, -0.104179
1.25596, -5.33021
1.42408, 1.79741
0.873035, -0.0385032
0.524982, -0.0209615
0.0203304, -0.195955
1.73728, -1.77439
1.56505, 2.27842
-0.569627, 0.927879
0.228805, -1.20257
-0.0565355, 1.9011
2.9938, -1.61534
1.15819, -0.529098
-0.0698727, -0.135927
0.536768, -0.203506
0.313232, -1.30536
2.62745, 2.63769
4.29963, 0.6782
3.67308, -2.21075
3.24514, 1.76873
1.33602, 1.00321
0.0649207, 0.0105747
-0.910259, -1.94465
0.118816, -0.0944913
0.256155, -0.440354
-0.440082, -2.23563
1.99835, 0.649614
5.43431, 0.458949
-0.00877807, 0.0154882
0.405288, 0.519502
-0.133512, 0.273954
4.34255, -5.40326
0.519228, -0.106962
1.45221, 0.990511
0.521634, -0.598632
0.653776, 1.63445
2.46512, -0.556231
1.18587, 1.20084
-0.00807386, -0.0398507
-0.129929, 0.0753036
0.448468, 2.04284
1.12011, -1.16737
3.43629, -2.50114
1.68576, -0.254503
0.0537797, 0.182409
0.652042, -0.803183
0.220752, 0.133731
3.77437, -3.86537
-0.423424, -0.277037
0.0235286, -0.0814684
-0.0324552, -0.449249
0.27366, -0.0821455
1.7458, 0.0254263
0.557583, 0.202547
-2.5617, 3.41406
-1.87798, -2.60929
1.94515, 1.3267
4.44621, -0.00135321
-0.46412, -1.06916
4.03126, 0.862061
4.60825, 0.0565759
-1.15079, 0.473102
0.899887, -0.0372122
2.57174, 0.88367
-0.512096, -1.98568
0.320273, -0.00290466
0.189697, 0.347271
0.996346, -3.27589
0.946152, 0.081234
0.00131023, -0.0555854
-0.691999, 2.75475
0.976955, -0.795794
-0.0574058, 0.758265
-1.76547, -1.10754
0.254972, -1.61847
3.64176, -2.25186
0.5374, -0.122285
0.195829, -0.0512591
0.940541, 1.60491
0.177377, 0.0246049
0.685937, -0.22461
-0.747503, -0.187344
0.168585, 0.305466
2.06057, 2.07511
0.783168, -0.185213
-0.379186, 0.41166
0.423857, 0.0763251
0.389905, 0.74752
1.6841, -1.14136
4.90031, -6.28142
-0.0662094, 0.129321
-0.0604872, 0.764075
2.82062, -0.576252
0.345709, -0.608855
4.75255, 6.52678
-0.0517238, -0.191205
0.543264, 0.143044
1.15668, -1.16022
-0.137895, -1.44936
0.638371, -0.818224
-0.441851, 0.908811
0.691205, -0.310822
